barcode;name;category;price_in;price_out;stock;unit;image_path
SP036;Mì Hảo Hảo xào tôm hành thùng 30 gói;Mì ăn liền;250000;295500;206;thùng;
SP037;Mì Omachi xốt vang gói 75g;Mì ăn liền;50000;67500;254;gói;
SP038;Mì Omachi xốt vang thùng 30 gói;Mì ăn liền;90000;105500;150;thùng;
SP039;Mì Omachi sườn hầm gói 75g;Mì ăn liền;10000;12000;101;gói;
SP040;Mì Omachi sườn hầm thùng 30 gói;Mì ăn liền;200000;238500;71;thùng;
SP041;Mì Kokomi đại gói 75g;Mì ăn liền;10000;12000;148;gói;
SP042;Mì Kokomi đại thùng 30 gói;Mì ăn liền;200000;241500;267;thùng;
SP043;Mì 3 Miền tôm chua cay gói 75g;Mì ăn liền;20000;23500;299;gói;
SP044;Mì 3 Miền tôm chua cay thùng 30 gói;Mì ăn liền;90000;109500;211;thùng;
SP045;Mì Cung Đình tôm gói 75g;Mì ăn liền;10000;13000;71;gói;
SP046;Mì Cung Đình tôm thùng 30 gói;Mì ăn liền;250000;330500;53;thùng;
SP047;Mì Miliket 2 tôm gói 75g;Mì ăn liền;8000;10000;94;gói;
SP048;Mì Miliket 2 tôm thùng 30 gói;Mì ăn liền;120000;144000;79;thùng;
SP049;Mì Indomie mi goreng gói 75g;Mì ăn liền;30000;35000;72;gói;
SP050;Mì Indomie mi goreng thùng 30 gói;Mì ăn liền;250000;334000;295;thùng;
SP051;Phở Đệ Nhất bò gói 75g;Mì ăn liền;8000;11000;181;gói;
SP052;Phở Đệ Nhất bò thùng 30 gói;Mì ăn liền;120000;155500;232;thùng;
SP053;Hủ tiếu Nam Vang Nhịp Sống gói 75g;Mì ăn liền;20000;23000;259;gói;
SP054;Hủ tiếu Nam Vang Nhịp Sống thùng 30 gói;Mì ăn liền;150000;192000;87;thùng;
SP055;Miến Phú Hương heo gói 75g;Mì ăn liền;100000;125000;281;gói;
SP056;Miến Phú Hương heo thùng 30 gói;Mì ăn liền;90000;106500;207;thùng;
SP057;Mì Siu Kay hải sản gói 75g;Mì ăn liền;100000;118000;249;gói;
SP058;Mì Siu Kay hải sản thùng 30 gói;Mì ăn liền;120000;146500;279;thùng;
SP059;Mì Gấu Đỏ gà gói 75g;Mì ăn liền;50000;60000;11;gói;
SP060;Mì Gấu Đỏ gà thùng 30 gói;Mì ăn liền;90000;107500;32;thùng;
SP061;Nước mắm Nam Ngư nhỏ;Gia vị;100000;133000;31;chai;
SP062;Nước mắm Nam Ngư lớn;Gia vị;15000;19000;209;chai;
SP063;Nước mắm Chinsu nhỏ;Gia vị;25000;32000;177;chai;
SP064;Nước mắm Chinsu lớn;Gia vị;25000;29000;164;chai;
SP065;Nước mắm Đệ Nhất nhỏ;Gia vị;20000;27000;156;chai;
SP066;Nước mắm Đệ Nhất lớn;Gia vị;25000;31500;138;chai;
SP067;Nước tương Chinsu nhỏ;Gia vị;20000;27000;174;chai;
SP068;Nước tương Chinsu lớn;Gia vị;8000;10500;209;chai;
SP069;Nước tương Maggi nhỏ;Gia vị;50000;65500;154;chai;
SP070;Nước tương Maggi lớn;Gia vị;40000;52000;170;chai;
SP071;Tương ớt Chinsu nhỏ;Gia vị;20000;26000;171;chai;
SP072;Tương ớt Chinsu lớn;Gia vị;8000;10000;45;chai;
SP073;Tương cà Cholimex nhỏ;Gia vị;3000;3500;36;chai;
SP074;Tương cà Cholimex lớn;Gia vị;10000;12500;218;chai;
SP075;Hạt nêm Knorr thịt thăn nhỏ;Gia vị;100000;121000;167;gói;
SP076;Hạt nêm Knorr thịt thăn lớn;Gia vị;100000;132000;60;gói;
SP077;Hạt nêm Aji-ngon nhỏ;Gia vị;5000;6500;214;gói;
SP078;Hạt nêm Aji-ngon lớn;Gia vị;5000;6000;283;gói;
SP079;Bột ngọt Ajinomoto nhỏ;Gia vị;100000;117000;122;gói;
SP080;Bột ngọt Ajinomoto lớn;Gia vị;100000;119000;191;gói;
SP081;Đường tinh luyện Biên Hòa nhỏ;Gia vị;5000;6500;32;gói;
SP082;Đường tinh luyện Biên Hòa lớn;Gia vị;20000;26500;104;gói;
SP083;Muối sấy i-ốt nhỏ;Gia vị;8000;10500;43;gói;
SP084;Muối sấy i-ốt lớn;Gia vị;20000;26000;191;gói;
SP085;Dầu ăn Tường An nhỏ;Gia vị;10000;12000;243;chai;
SP086;Dầu ăn Tường An lớn;Gia vị;8000;10500;97;chai;
SP087;Dầu ăn Simply nhỏ;Gia vị;50000;58000;37;chai;
SP088;Dầu ăn Simply lớn;Gia vị;8000;9500;117;chai;
SP089;Dầu hào Maggi nhỏ;Gia vị;30000;35500;150;chai;
SP090;Dầu hào Maggi lớn;Gia vị;30000;38500;109;chai;
SP091;Bánh Chocopie hộp vừa;Bánh kẹo;15000;19500;298;hộp;
SP092;Bánh Chocopie gói lớn;Bánh kẹo;10000;12500;124;gói;
SP093;Bánh Custas hộp vừa;Bánh kẹo;50000;62500;229;hộp;
SP094;Bánh Custas gói lớn;Bánh kẹo;10000;12000;257;gói;
SP095;Bánh Cosy hộp vừa;Bánh kẹo;25000;33000;171;hộp;
SP096;Bánh Cosy gói lớn;Bánh kẹo;100000;126000;88;gói;
SP097;Bánh AFC hộp vừa;Bánh kẹo;20000;26500;169;hộp;
SP098;Bánh AFC gói lớn;Bánh kẹo;25000;29500;87;gói;
SP099;Bánh Danisa hộp vừa;Bánh kẹo;8000;10000;186;hộp;
SP100;Bánh Danisa gói lớn;Bánh kẹo;25000;30500;279;gói;
